****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.25     15.00     45.00     90.00     25.00      0.50     20.70    207.00      2.00      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
---------------------- Local maximum rise or fall --------------------
       132     8.962     0.179     0.000     0.084    -2.423     5.905     8.962  1025.082 11157.665    32.687    10.534     0.020     4.481
       133     9.142     0.181     0.000     0.085    -2.429     5.995     9.142  1025.058 10938.635    32.657    10.534     0.020     4.571
       134     9.325     0.184     0.000     0.087    -2.435     6.086     9.325  1025.035 10723.910    32.627    10.535     0.020     4.662
       135     9.512     0.186     0.000     0.089    -2.442     6.179     9.512  1025.012 10513.404    32.598    10.535     0.020     4.756
       136     9.702     0.188     0.000     0.090    -2.448     6.273     9.702  1024.990 10307.036    32.570    10.535     0.020     4.851
       137     9.896     0.190     0.000     0.092    -2.454     6.368     9.896  1024.968 10104.722    32.542    10.536     0.020     4.948
       138    10.095     0.193     0.000     0.094    -2.461     6.464    10.095  1024.947  9906.384    32.514    10.536     0.020     5.047
       139    10.297     0.195     0.000     0.096    -2.467     6.562    10.297  1024.926  9711.943    32.487    10.536     0.020     5.148
       140    10.503     0.197     0.000     0.097    -2.474     6.661    10.503  1024.906  9521.323    32.461    10.536     0.020     5.251
       141    10.713     0.200     0.000     0.099    -2.480     6.762    10.713  1024.886  9334.448    32.435    10.536     0.020     5.357
       142    10.927     0.202     0.000     0.101    -2.487     6.864    10.927  1024.866  9151.244    32.410    10.536     0.020     5.464
       143    11.146     0.205     0.000     0.103    -2.494     6.967    11.146  1024.847  8971.639    32.385    10.536     0.020     5.573
       144    11.369     0.207     0.000     0.105    -2.500     7.072    11.369  1024.828  8795.563    32.361    10.536     0.020     5.685
       145    11.597     0.210     0.000     0.107    -2.507     7.178    11.597  1024.810  8622.946    32.337    10.536     0.020     5.798
       146    11.829     0.212     0.000     0.109    -2.514     7.286    11.829  1024.791  8453.719    32.314    10.536     0.020     5.915
       147    12.066     0.215     0.000     0.111    -2.521     7.396    12.066  1024.774  8287.817    32.291    10.536     0.020     6.033
       148    12.307     0.218     0.000     0.113    -2.528     7.507    12.307  1024.756  8125.173    32.269    10.536     0.020     6.154
       149    12.554     0.220     0.000     0.115    -2.535     7.619    12.554  1024.739  7965.724    32.247    10.536     0.020     6.277
       150    12.805     0.223     0.000     0.117    -2.542     7.733    12.805  1024.723  7809.406    32.226    10.536     0.020     6.403
       151    13.061     0.226     0.000     0.120    -2.549     7.849    13.061  1024.706  7656.159    32.205    10.536     0.020     6.531
       152    13.323     0.228     0.000     0.122    -2.557     7.966    13.323  1024.690  7505.921    32.184    10.535     0.020     6.661
       153    13.589     0.231     0.000     0.124    -2.564     8.086    13.589  1024.675  7358.634    32.164    10.535     0.020     6.795
       154    13.861     0.234     0.000     0.126    -2.571     8.206    13.861  1024.660  7214.239    32.144    10.535     0.020     6.931
       155    14.139     0.237     0.000     0.129    -2.579     8.329    14.139  1024.645  7072.680    32.125    10.534     0.020     7.069
       156    14.422     0.240     0.000     0.131    -2.586     8.453    14.422  1024.630  6933.901    32.106    10.534     0.020     7.211
       157    14.711     0.243     0.000     0.133    -2.594     8.579    14.711  1024.616  6797.847    32.087    10.533     0.020     7.355
       158    15.005     0.246     0.000     0.136    -2.602     8.707    15.005  1024.601  6664.464    32.069    10.533     0.020     7.502
       159    15.305     0.249     0.000     0.138    -2.609     8.837    15.305  1024.588  6533.701    32.051    10.533     0.020     7.653
       160    15.612     0.252     0.000     0.141    -2.617     8.968    15.612  1024.574  6405.505    32.034    10.532     0.020     7.806
       161    15.924     0.255     0.000     0.143    -2.625     9.101    15.924  1024.561  6279.825    32.016    10.531     0.020     7.962
       162    16.243     0.258     0.000     0.146    -2.633     9.237    16.243  1024.548  6156.614    32.000    10.531     0.020     8.121
       163    16.568     0.262     0.000     0.149    -2.641     9.374    16.568  1024.535  6035.822    31.983    10.530     0.020     8.284
       164    16.899     0.265     0.000     0.151    -2.649     9.513    16.899  1024.523  5917.401    31.967    10.530     0.020     8.450
