****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      1.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
       155    21.591     1.536     0.000     1.958    -4.330    10.795     0.020    10.411    31.336  4631.652  1024.052    21.591    43.857
       156    22.022     1.559     0.000     1.981    -4.372    11.011     0.020    10.405    31.333  4540.831  1024.051    22.022    44.707
       157    22.463     1.582     0.000     2.005    -4.415    11.231     0.020    10.399    31.330  4451.791  1024.050    22.463    45.571
       158    22.912     1.606     0.000     2.029    -4.458    11.456     0.020    10.393    31.328  4364.497  1024.049    22.912    46.451
       159    23.370     1.630     0.000     2.053    -4.501    11.685     0.020    10.386    31.325  4278.915  1024.048    23.370    47.347
       160    23.838     1.655     0.000     2.078    -4.545    11.919     0.020    10.380    31.323  4195.011  1024.048    23.838    48.259
       161    24.315     1.680     0.000     2.102    -4.589    12.157     0.020    10.373    31.320  4112.753  1024.047    24.315    49.187
       162    24.801     1.706     0.000     2.128    -4.633    12.400     0.020    10.367    31.318  4032.108  1024.046    24.801    50.132
       163    25.297     1.732     0.000     2.153    -4.677    12.648     0.020    10.360    31.316  3953.044  1024.046    25.297    51.095
       164    25.803     1.759     0.000     2.179    -4.722    12.901     0.020    10.353    31.314  3875.531  1024.045    25.803    52.075
       165    26.319     1.786     0.000     2.205    -4.766    13.159     0.020    10.346    31.311  3799.538  1024.044    26.319    53.073
       166    26.845     1.814     0.000     2.232    -4.811    13.423     0.020    10.339    31.309  3725.035  1024.044    26.845    54.089
       167    27.382     1.843     0.000     2.259    -4.856    13.691     0.020    10.332    31.307  3651.994  1024.043    27.382    55.123
       168    27.930     1.872     0.000     2.286    -4.901    13.965     0.020    10.325    31.305  3580.384  1024.043    27.930    56.176
       169    28.489     1.902     0.000     2.314    -4.947    14.244     0.020    10.318    31.303  3510.179  1024.042    28.489    57.249
       170    29.058     1.932     0.000     2.342    -4.992    14.529     0.020    10.311    31.301  3441.351  1024.042    29.058    58.341
       171    29.640     1.963     0.000     2.370    -5.038    14.820     0.020    10.303    31.299  3373.873  1024.042    29.640    59.454
       172    30.232     1.995     0.000     2.399    -5.084    15.116     0.020    10.296    31.297  3307.717  1024.041    30.232    60.586
       173    30.837     2.027     0.000     2.428    -5.130    15.418     0.020    10.289    31.295  3242.859  1024.041    30.837    61.740
       174    31.454     2.061     0.000     2.458    -5.176    15.727     0.020    10.281    31.293  3179.273  1024.041    31.454    62.914
       175    32.083     2.095     0.000     2.488    -5.222    16.041     0.020    10.274    31.291  3116.934  1024.041    32.083    64.110
       176    32.724     2.130     0.000     2.518    -5.268    16.362     0.020    10.266    31.289  3055.817  1024.041    32.724    65.328
       177    33.379     2.165     0.000     2.549    -5.314    16.689     0.020    10.258    31.288  2995.899  1024.041    33.379    66.569
       178    34.047     2.202     0.000     2.581    -5.360    17.023     0.020    10.251    31.286  2937.156  1024.041    34.047    67.831
       179    34.727     2.240     0.000     2.613    -5.405    17.364     0.020    10.243    31.284  2879.565  1024.041    34.727    69.117
---------------------------- Plume traps -----------------------------
------------------------- merging happened ---------------------------
       180    35.392     2.277     0.000     2.643    -5.449    17.696     0.020    10.235    31.283  2825.531  1024.041    35.392    70.368
       181    36.040     2.314     0.000     2.673    -5.491    18.020     0.020    10.228    31.281  2774.663  1024.041    36.040    71.583
       182    36.669     2.350     0.000     2.702    -5.531    18.335     0.020    10.221    31.280  2727.094  1024.041    36.669    72.756
       183    37.281     2.385     0.000     2.730    -5.568    18.641     0.020    10.214    31.279  2682.319  1024.041    37.281    73.893
       184    37.877     2.420     0.000     2.757    -5.604    18.938     0.020    10.208    31.277  2640.138  1024.041    37.877    74.997
       185    38.458     2.454     0.000     2.783    -5.639    19.229     0.020    10.201    31.276  2600.236  1024.041    38.458    76.071
