****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.40      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
        68     3.676     0.362     0.000     0.411    -3.109     4.081     3.676  1026.888 27206.780    34.965    10.339     0.020     1.838
        69     3.749     0.366     0.000     0.417    -3.126     4.185     3.749  1026.831 26671.816    34.891    10.340     0.020     1.875
        70     3.824     0.370     0.000     0.424    -3.143     4.289     3.824  1026.774 26147.401    34.819    10.340     0.020     1.912
        71     3.901     0.375     0.000     0.431    -3.161     4.396     3.901  1026.719 25633.324    34.748    10.341     0.020     1.951
        72     3.979     0.379     0.000     0.437    -3.179     4.504     3.979  1026.665 25129.382    34.678    10.341     0.020     1.990
        73     4.059     0.384     0.000     0.444    -3.197     4.613     4.059  1026.611 24635.372    34.610    10.342     0.020     2.030
        74     4.141     0.388     0.000     0.451    -3.215     4.725     4.141  1026.559 24151.099    34.543    10.342     0.020     2.070
        75     4.224     0.393     0.000     0.457    -3.233     4.838     4.224  1026.508 23676.370    34.478    10.342     0.020     2.112
        76     4.308     0.398     0.000     0.464    -3.252     4.952     4.308  1026.458 23210.995    34.413    10.342     0.020     2.154
        77     4.395     0.403     0.000     0.471    -3.271     5.069     4.395  1026.409 22754.790    34.350    10.342     0.020     2.197
        78     4.483     0.407     0.000     0.478    -3.290     5.187     4.483  1026.361 22307.572    34.289    10.342     0.020     2.241
        79     4.573     0.412     0.000     0.484    -3.309     5.307     4.573  1026.314 21869.164    34.228    10.342     0.020     2.286
        80     4.664     0.417     0.000     0.491    -3.329     5.429     4.664  1026.268 21439.392    34.169    10.342     0.020     2.332
        81     4.758     0.422     0.000     0.498    -3.349     5.552     4.758  1026.222 21018.085    34.110    10.342     0.020     2.379
        82     4.853     0.427     0.000     0.505    -3.369     5.678     4.853  1026.178 20605.075    34.053    10.341     0.020     2.427
        83     4.950     0.432     0.000     0.511    -3.389     5.805     4.950  1026.134 20200.198    33.997    10.341     0.020     2.475
        84     5.050     0.438     0.000     0.518    -3.409     5.934     5.050  1026.092 19803.293    33.943    10.340     0.020     2.525
        85     5.151     0.443     0.000     0.525    -3.430     6.066     5.151  1026.050 19414.203    33.889    10.340     0.020     2.575
        86     5.254     0.448     0.000     0.532    -3.451     6.199     5.254  1026.009 19032.774    33.836    10.339     0.020     2.627
        87     5.359     0.454     0.000     0.539    -3.472     6.334     5.359  1025.969 18658.853    33.784    10.338     0.020     2.680
        88     5.467     0.459     0.000     0.546    -3.494     6.472     5.467  1025.930 18292.292    33.734    10.337     0.020     2.733
        89     5.576     0.465     0.000     0.553    -3.516     6.611     5.576  1025.891 17932.947    33.684    10.336     0.020     2.788
        90     5.688     0.470     0.000     0.560    -3.538     6.752     5.688  1025.854 17580.674    33.635    10.335     0.020     2.844
        91     5.802     0.476     0.000     0.567    -3.560     6.896     5.802  1025.817 17235.334    33.588    10.334     0.020     2.901
        92     5.918     0.481     0.000     0.574    -3.582     7.042     5.918  1025.780 16896.789    33.541    10.333     0.020     2.959
        93     6.037     0.487     0.000     0.581    -3.605     7.190     6.037  1025.745 16564.906    33.495    10.332     0.020     3.018
        94     6.158     0.493     0.000     0.588    -3.628     7.340     6.158  1025.710 16239.554    33.450    10.330     0.020     3.079
        95     6.281     0.499     0.000     0.595    -3.652     7.493     6.281  1025.676 15920.602    33.406    10.329     0.020     3.141
        96     6.407     0.505     0.000     0.602    -3.675     7.647     6.407  1025.643 15607.925    33.363    10.327     0.020     3.204
