****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.40      0.01     25.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
       101     2.263     0.393     0.000     0.434    -2.644     3.677     2.263  1021.825 44190.473    28.442    10.292     0.020     1.131
       102     2.270     0.394     0.000     0.437    -2.644     3.709     2.270  1021.831 44055.691    28.450    10.293     0.020     1.135
       103     2.277     0.396     0.000     0.440    -2.644     3.742     2.277  1021.837 43922.373    28.458    10.293     0.020     1.138
       104     2.284     0.397     0.000     0.443    -2.644     3.774     2.284  1021.843 43790.480    28.466    10.294     0.020     1.142
       105     2.290     0.398     0.000     0.446    -2.644     3.807     2.290  1021.850 43659.972    28.474    10.295     0.020     1.145
       106     2.297     0.399     0.000     0.449    -2.645     3.839     2.297  1021.856 43530.813    28.482    10.295     0.020     1.149
       107     2.304     0.400     0.000     0.452    -2.645     3.871     2.304  1021.862 43402.965    28.490    10.296     0.020     1.152
       108     2.311     0.401     0.000     0.455    -2.645     3.904     2.311  1021.868 43276.393    28.498    10.296     0.020     1.155
       109     2.317     0.402     0.000     0.458    -2.645     3.936     2.317  1021.874 43151.063    28.506    10.297     0.020     1.159
       110     2.324     0.404     0.000     0.461    -2.645     3.969     2.324  1021.879 43026.939    28.513    10.298     0.020     1.162
       111     2.331     0.405     0.000     0.464    -2.645     4.001     2.331  1021.885 42903.989    28.521    10.298     0.020     1.165
       112     2.337     0.406     0.000     0.467    -2.645     4.034     2.337  1021.891 42782.179    28.528    10.299     0.020     1.169
       113     2.344     0.407     0.000     0.470    -2.645     4.067     2.344  1021.897 42661.479    28.536    10.299     0.020     1.172
---------------------- Local maximum rise or fall --------------------
       114     2.351     0.408     0.000     0.473    -2.645     4.099     2.351  1021.902 42541.856    28.543    10.300     0.020     1.175
       115     2.357     0.409     0.000     0.476    -2.645     4.132     2.357  1021.908 42423.280    28.551    10.300     0.020     1.179
       116     2.364     0.410     0.000     0.479    -2.645     4.165     2.364  1021.913 42305.722    28.558    10.301     0.020     1.182
       117     2.370     0.411     0.000     0.481    -2.645     4.197     2.370  1021.919 42189.150    28.565    10.301     0.020     1.185
       118     2.377     0.412     0.000     0.484    -2.645     4.230     2.377  1021.924 42073.537    28.572    10.302     0.020     1.188
       119     2.383     0.413     0.000     0.487    -2.645     4.263     2.383  1021.930 41958.854    28.579    10.302     0.020     1.192
       120     2.390     0.414     0.000     0.490    -2.645     4.296     2.390  1021.935 41845.072    28.586    10.303     0.020     1.195
       121     2.396     0.415     0.000     0.493    -2.644     4.329     2.396  1021.941 41732.165    28.593    10.303     0.020     1.198
       122     2.403     0.416     0.000     0.496    -2.644     4.362     2.403  1021.946 41620.105    28.600    10.304     0.020     1.201
       123     2.409     0.416     0.000     0.499    -2.644     4.395     2.409  1021.951 41508.865    28.607    10.305     0.020     1.205
       124     2.416     0.417     0.000     0.502    -2.644     4.428     2.416  1021.956 41398.420    28.614    10.305     0.020     1.208
       125     2.422     0.418     0.000     0.505    -2.644     4.462     2.422  1021.961 41288.742    28.621    10.306     0.020     1.211
       126     2.428     0.419     0.000     0.508    -2.643     4.495     2.428  1021.967 41179.806    28.627    10.306     0.020     1.214
       127     2.435     0.420     0.000     0.511    -2.643     4.528     2.435  1021.972 41071.588    28.634    10.307     0.020     1.217
       128     2.441     0.421     0.000     0.514    -2.643     4.562     2.441  1021.977 40964.084    28.641    10.307     0.020     1.221
       129     2.448     0.422     0.000     0.517    -2.643     4.596     2.448  1021.982 40857.338    28.647    10.308     0.020     1.224
       130     2.454     0.422     0.000     0.519    -2.642     4.629     2.454  1021.987 40751.315    28.654    10.308     0.020     1.227
       131     2.460     0.423     0.000     0.522    -2.642     4.663     2.460  1021.992 40645.973    28.660    10.308     0.020     1.230
       132     2.467     0.424     0.000     0.525    -2.641     4.697     2.467  1021.997 40541.265    28.667    10.309     0.020     1.233
       133     2.473     0.425     0.000     0.528    -2.641     4.731     2.473  1022.002 40437.143    28.673    10.309     0.020     1.236
       134     2.479     0.426     0.000     0.531    -2.641     4.765     2.479  1022.006 40333.558    28.680    10.310     0.020     1.240
       135     2.486     0.426     0.000     0.534    -2.640     4.799     2.486  1022.011 40230.462    28.686    10.310     0.020     1.243
       136     2.492     0.427     0.000     0.537    -2.640     4.833     2.492  1022.016 40127.809    28.692    10.311     0.020     1.246
       137     2.498     0.428     0.000     0.540    -2.639     4.868     2.498  1022.021 40025.550    28.699    10.311     0.020     1.249
       138     2.505     0.429     0.000     0.543    -2.639     4.902     2.505  1022.026 39923.642    28.705    10.312     0.020     1.252
       139     2.511     0.429     0.000     0.546    -2.638     4.937     2.511  1022.031 39822.138    28.711    10.312     0.020     1.256
       140     2.518     0.430     0.000     0.549    -2.638     4.971     2.518  1022.035 39721.030    28.717    10.313     0.020     1.259
       141     2.524     0.431     0.000     0.552    -2.637     5.006     2.524  1022.040 39620.303    28.724    10.313     0.020     1.262
       142     2.530     0.431     0.000     0.555    -2.636     5.041     2.530  1022.045 39519.936    28.730    10.314     0.020     1.265
       143     2.537     0.432     0.000     0.558    -2.636     5.076     2.537  1022.050 39419.907    28.736    10.314     0.020     1.268
       144     2.543     0.433     0.000     0.561    -2.635     5.112     2.543  1022.054 39320.194    28.742    10.315     0.020     1.272
       145     2.550     0.433     0.000     0.564    -2.635     5.147     2.550  1022.059 39220.775    28.748    10.315     0.020     1.275
