****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.40     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.40      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
       145     9.561     0.871     0.000     0.706    -4.568    24.742     9.561  1024.284 10459.403    31.594    10.224     0.020     4.780
       146     9.752     0.882     0.000     0.716    -4.600    25.157     9.752  1024.279 10254.263    31.586    10.220     0.020     4.876
       147     9.947     0.893     0.000     0.725    -4.632    25.579     9.947  1024.274 10053.147    31.579    10.216     0.020     4.974
       148    10.146     0.904     0.000     0.735    -4.664    26.006    10.146  1024.269  9855.977    31.571    10.213     0.020     5.073
       149    10.349     0.915     0.000     0.745    -4.696    26.441    10.349  1024.264  9662.675    31.564    10.209     0.020     5.175
       150    10.556     0.927     0.000     0.754    -4.729    26.881    10.556  1024.259  9473.166    31.557    10.205     0.020     5.278
       151    10.767     0.939     0.000     0.764    -4.762    27.329    10.767  1024.254  9287.374    31.550    10.201     0.020     5.384
       152    10.983     0.951     0.000     0.775    -4.796    27.783    10.983  1024.249  9105.228    31.543    10.197     0.020     5.491
       153    11.202     0.963     0.000     0.785    -4.829    28.245    11.202  1024.245  8926.654    31.536    10.192     0.020     5.601
       154    11.427     0.975     0.000     0.795    -4.863    28.713    11.427  1024.240  8751.584    31.530    10.188     0.020     5.713
       155    11.655     0.988     0.000     0.806    -4.898    29.189    11.655  1024.236  8579.948    31.523    10.184     0.020     5.828
       156    11.888     1.001     0.000     0.817    -4.932    29.672    11.888  1024.232  8411.679    31.517    10.179     0.020     5.944
       157    12.126     1.014     0.000     0.828    -4.967    30.163    12.126  1024.228  8246.712    31.511    10.175     0.020     6.063
       158    12.369     1.027     0.000     0.839    -5.003    30.661    12.369  1024.224  8084.980    31.505    10.170     0.020     6.184
       159    12.616     1.040     0.000     0.850    -5.038    31.167    12.616  1024.220  7926.421    31.499    10.166     0.020     6.308
       160    12.868     1.053     0.000     0.861    -5.074    31.681    12.868  1024.216  7770.972    31.493    10.161     0.020     6.434
       161    13.126     1.067     0.000     0.873    -5.111    32.203    13.126  1024.212  7618.573    31.487    10.156     0.020     6.563
       162    13.388     1.081     0.000     0.884    -5.147    32.733    13.388  1024.209  7469.163    31.481    10.151     0.020     6.694
       163    13.656     1.095     0.000     0.896    -5.184    33.271    13.656  1024.205  7322.684    31.476    10.147     0.020     6.828
       164    13.929     1.109     0.000     0.908    -5.222    33.818    13.929  1024.202  7179.078    31.470    10.142     0.020     6.965
       165    14.208     1.124     0.000     0.920    -5.259    34.374    14.208  1024.199  7038.289    31.465    10.136     0.020     7.104
       166    14.492     1.139     0.000     0.932    -5.297    34.938    14.492  1024.196  6900.262    31.460    10.131     0.020     7.246
       167    14.782     1.154     0.000     0.945    -5.335    35.511    14.782  1024.192  6764.943    31.455    10.126     0.020     7.391
