****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.020    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.01     15.00     45.00     90.00     25.00      2.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil        TA       DIC        pH    OmegaC    OmegaA     R_cal     R_arg
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        () (mmol/m3) (mmol/m3)   (total)        ()        () (umol/hr) (umol/hr)
        99     3.405     0.036     0.000     0.043    -1.980     1.298     3.405  1024.750 29367.360    32.247    10.473     0.020     1.703  8092.347  2519.847    11.250    58.830    37.275102646.113     0.000
       100     3.424     0.037     0.000     0.044    -1.980     1.320     3.424  1024.745 29207.421    32.241    10.474     0.020     1.712  8064.105  2519.739    11.246    58.824    37.271102616.103     0.000
       101     3.442     0.037     0.000     0.045    -1.980     1.341     3.442  1024.740 29053.547    32.235    10.475     0.020     1.721  8036.933  2519.635    11.241    58.818    37.267102586.658     0.000
       102     3.460     0.037     0.000     0.045    -1.980     1.363     3.460  1024.736 28905.655    32.229    10.476     0.020     1.730  8010.818  2519.535    11.237    58.813    37.263102557.813     0.000
       103     3.477     0.037     0.000     0.046    -1.980     1.385     3.477  1024.731 28763.639    32.223    10.477     0.020     1.738  7985.740  2519.440    11.233    58.807    37.259102529.597     0.000
       104     3.493     0.037     0.000     0.046    -1.980     1.407     3.493  1024.727 28627.373    32.218    10.478     0.020     1.747  7961.677  2519.347    11.229    58.802    37.255102502.035     0.000
       105     3.509     0.037     0.000     0.047    -1.980     1.429     3.509  1024.723 28496.685    32.213    10.479     0.020     1.755  7938.599  2519.259    11.225    58.796    37.252102475.139     0.000
       106     3.525     0.037     0.000     0.048    -1.980     1.452     3.525  1024.719 28371.350    32.208    10.479     0.020     1.762  7916.467  2519.175    11.221    58.791    37.248102448.908     0.000
       107     3.540     0.037     0.000     0.048    -1.980     1.474     3.540  1024.715 28251.043    32.203    10.480     0.020     1.770  7895.222  2519.093    11.218    58.786    37.244102423.318     0.000
       108     3.554     0.037     0.000     0.049    -1.980     1.497     3.554  1024.711 28135.250    32.199    10.481     0.020     1.777  7874.774  2519.015    11.214    58.781    37.241102398.299     0.000
