****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.020    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.01     15.00     45.00     90.00     25.00      2.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
       102     7.557     0.093     0.000     0.148    -1.861     0.536     7.557  1024.236 13231.918    31.612    10.594     0.020     3.779
       103     7.709     0.094     0.000     0.152    -1.858     0.557     7.709  1024.227 12972.363    31.601    10.596     0.020     3.854
       104     7.863     0.096     0.000     0.155    -1.855     0.579     7.863  1024.219 12717.901    31.591    10.598     0.020     3.931
       105     8.020     0.098     0.000     0.159    -1.851     0.602     8.020  1024.211 12468.433    31.581    10.600     0.020     4.010
       106     8.181     0.100     0.000     0.163    -1.848     0.626     8.181  1024.203 12223.859    31.571    10.602     0.020     4.090
       107     8.344     0.102     0.000     0.166    -1.845     0.651     8.344  1024.195 11984.085    31.562    10.604     0.020     4.172
       108     8.511     0.104     0.000     0.170    -1.842     0.677     8.511  1024.188 11749.016    31.553    10.606     0.020     4.256
       109     8.682     0.106     0.000     0.174    -1.838     0.704     8.682  1024.180 11518.559    31.543    10.608     0.020     4.341
       110     8.855     0.108     0.000     0.178    -1.835     0.732     8.855  1024.173 11292.624    31.534    10.610     0.020     4.428
       111     9.033     0.110     0.000     0.182    -1.831     0.761     9.033  1024.166 11071.122    31.526    10.612     0.020     4.516
       112     9.213     0.112     0.000     0.187    -1.828     0.791     9.213  1024.159 10853.966    31.517    10.614     0.020     4.607
       113     9.398     0.114     0.000     0.191    -1.824     0.822     9.398  1024.152 10641.072    31.508    10.616     0.020     4.699
       114     9.586     0.117     0.000     0.195    -1.820     0.855     9.586  1024.145 10432.354    31.500    10.618     0.020     4.793
       115     9.777     0.119     0.000     0.200    -1.816     0.889     9.777  1024.138 10227.731    31.492    10.620     0.020     4.889
       116     9.973     0.121     0.000     0.204    -1.813     0.924     9.973  1024.132 10027.123    31.484    10.622     0.020     4.986
       117    10.172     0.123     0.000     0.209    -1.809     0.960    10.172  1024.125  9830.451    31.476    10.624     0.020     5.086
       118    10.376     0.126     0.000     0.214    -1.805     0.998    10.376  1024.119  9637.638    31.468    10.625     0.020     5.188
       119    10.584     0.128     0.000     0.219    -1.801     1.037    10.584  1024.113  9448.607    31.461    10.627     0.020     5.292
       120    10.795     0.131     0.000     0.223    -1.797     1.078    10.795  1024.107  9263.285    31.453    10.629     0.020     5.398
       121    11.011     0.133     0.000     0.229    -1.792     1.120    11.011  1024.101  9081.599    31.446    10.631     0.020     5.506
       122    11.232     0.136     0.000     0.234    -1.788     1.164    11.232  1024.095  8903.477    31.439    10.633     0.020     5.616
       123    11.456     0.138     0.000     0.239    -1.784     1.210    11.456  1024.089  8728.850    31.432    10.634     0.020     5.728
       124    11.685     0.141     0.000     0.244    -1.780     1.257    11.685  1024.083  8557.649    31.425    10.636     0.020     5.843
       125    11.919     0.144     0.000     0.250    -1.775     1.306    11.919  1024.078  8389.806    31.418    10.638     0.020     5.960
       126    12.158     0.147     0.000     0.256    -1.771     1.357    12.158  1024.072  8225.256    31.411    10.640     0.020     6.079
       127    12.401     0.149     0.000     0.261    -1.766     1.410    12.401  1024.067  8063.935    31.405    10.641     0.020     6.200
       128    12.649     0.152     0.000     0.267    -1.761     1.465    12.649  1024.062  7905.777    31.398    10.643     0.020     6.324
       129    12.902     0.155     0.000     0.273    -1.757     1.522    12.902  1024.057  7750.723    31.392    10.645     0.020     6.451
       130    13.160     0.158     0.000     0.279    -1.752     1.581    13.160  1024.052  7598.710    31.386    10.646     0.020     6.580
       131    13.423     0.161     0.000     0.286    -1.747     1.642    13.423  1024.047  7449.679    31.380    10.648     0.020     6.712
       132    13.692     0.164     0.000     0.292    -1.742     1.706    13.692  1024.042  7303.572    31.374    10.650     0.020     6.846
       133    13.966     0.167     0.000     0.298    -1.737     1.772    13.966  1024.037  7160.331    31.368    10.651     0.020     6.983
       134    14.245     0.171     0.000     0.305    -1.732     1.840    14.245  1024.032  7019.900    31.362    10.653     0.020     7.123
       135    14.530     0.174     0.000     0.312    -1.727     1.910    14.530  1024.027  6882.223    31.356    10.655     0.020     7.265
       136    14.821     0.177     0.000     0.319    -1.721     1.983    14.821  1024.023  6747.248    31.351    10.656     0.020     7.410
       137    15.117     0.180     0.000     0.326    -1.716     2.058    15.117  1024.018  6614.919    31.345    10.658     0.020     7.559
       138    15.420     0.184     0.000     0.333    -1.711     2.136    15.420  1024.014  6485.187    31.340    10.660     0.020     7.710
       139    15.728     0.187     0.000     0.340    -1.706     2.217    15.728  1024.009  6357.999    31.335    10.661     0.020     7.864
       140    16.043     0.191     0.000     0.347    -1.700     2.301    16.043  1024.005  6233.307    31.330    10.663     0.020     8.021
       141    16.364     0.195     0.000     0.355    -1.695     2.387    16.364  1024.001  6111.060    31.325    10.664     0.020     8.182
       142    16.691     0.198     0.000     0.363    -1.689     2.476    16.691  1023.997  5991.211    31.320    10.666     0.020     8.346
       143    17.025     0.202     0.000     0.370    -1.683     2.569    17.025  1023.993  5873.713    31.315    10.668     0.020     8.513
       144    17.366     0.206     0.000     0.378    -1.678     2.664    17.366  1023.989  5758.519    31.310    10.669     0.020     8.683
       145    17.713     0.210     0.000     0.386    -1.672     2.763    17.713  1023.985  5645.585    31.305    10.671     0.020     8.856
       146    18.067     0.214     0.000     0.395    -1.666     2.865    18.067  1023.981  5534.867    31.300    10.672     0.020     9.034
       147    18.429     0.218     0.000     0.403    -1.660     2.970    18.429  1023.977  5426.320    31.296    10.674     0.020     9.214
       148    18.797     0.222     0.000     0.412    -1.654     3.079    18.797  1023.973  5319.902    31.291    10.676     0.020     9.399
       149    19.173     0.226     0.000     0.420    -1.648     3.191    19.173  1023.970  5215.571    31.287    10.677     0.020     9.587
       150    19.557     0.230     0.000     0.429    -1.642     3.307    19.557  1023.966  5113.287    31.283    10.679     0.020     9.778
       151    19.948     0.235     0.000     0.438    -1.636     3.427    19.948  1023.962  5013.008    31.278    10.680     0.020     9.974
       152    20.347     0.239     0.000     0.447    -1.630     3.550    20.347  1023.959  4914.697    31.274    10.682     0.020    10.174
       153    20.754     0.244     0.000     0.457    -1.624     3.678    20.754  1023.955  4818.314    31.270    10.684     0.020    10.377
       154    21.169     0.248     0.000     0.466    -1.618     3.810    21.169  1023.952  4723.822    31.266    10.685     0.020    10.585
