****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.40     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.40      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
        99     3.843     0.499     0.000     0.372    -3.400     1.922     0.020    10.310    32.180 26019.668  1024.725     3.843    10.950
       100     3.920     0.505     0.000     0.378    -3.420     1.960     0.020    10.310    32.161 25509.106  1024.711     3.920    11.165
       101     3.999     0.510     0.000     0.384    -3.441     1.999     0.020    10.310    32.142 25008.571  1024.696     3.999    11.382
       102     4.079     0.516     0.000     0.390    -3.461     2.039     0.020    10.310    32.123 24517.864  1024.682     4.079    11.603
       103     4.160     0.523     0.000     0.395    -3.482     2.080     0.020    10.310    32.105 24036.792  1024.668     4.160    11.826
       104     4.244     0.529     0.000     0.401    -3.503     2.122     0.020    10.309    32.087 23565.167  1024.654     4.244    12.052
       105     4.328     0.535     0.000     0.407    -3.524     2.164     0.020    10.309    32.070 23102.801  1024.640     4.328    12.282
       106     4.415     0.541     0.000     0.413    -3.546     2.208     0.020    10.308    32.053 22649.514  1024.627     4.415    12.514
       107     4.503     0.548     0.000     0.419    -3.567     2.252     0.020    10.308    32.036 22205.126  1024.614     4.503    12.750
       108     4.594     0.554     0.000     0.426    -3.589     2.297     0.020    10.307    32.020 21769.463  1024.602     4.594    12.990
       109     4.686     0.561     0.000     0.432    -3.611     2.343     0.020    10.306    32.004 21342.354  1024.589     4.686    13.232
       110     4.779     0.568     0.000     0.438    -3.633     2.390     0.020    10.305    31.988 20923.629  1024.577     4.779    13.478
       111     4.875     0.574     0.000     0.444    -3.656     2.437     0.020    10.304    31.973 20513.124  1024.565     4.875    13.727
       112     4.972     0.581     0.000     0.451    -3.679     2.486     0.020    10.303    31.957 20110.679  1024.554     4.972    13.980
       113     5.072     0.588     0.000     0.457    -3.702     2.536     0.020    10.302    31.943 19716.133  1024.542     5.072    14.237
       114     5.173     0.595     0.000     0.464    -3.725     2.587     0.020    10.301    31.928 19329.333  1024.531     5.173    14.497
