****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.50     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.00      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
       166    15.821     0.880     0.000     0.442    -4.929     7.910     0.020    10.220    32.072  6320.802  1024.657    15.821    19.645
       167    16.137     0.891     0.000     0.448    -4.969     8.069     0.020    10.214    32.055  6196.790  1024.645    16.137    19.961
       168    16.460     0.902     0.000     0.455    -5.009     8.230     0.020    10.209    32.038  6075.212  1024.632    16.460    20.281
       169    16.790     0.913     0.000     0.462    -5.050     8.395     0.020    10.204    32.022  5956.021  1024.621    16.790    20.607
       170    17.126     0.925     0.000     0.468    -5.092     8.563     0.020    10.198    32.006  5839.170  1024.609    17.126    20.937
       171    17.468     0.936     0.000     0.475    -5.134     8.734     0.020    10.193    31.990  5724.613  1024.598    17.468    21.273
       172    17.818     0.948     0.000     0.482    -5.176     8.909     0.020    10.187    31.975  5612.305  1024.586    17.818    21.615
       173    18.175     0.959     0.000     0.489    -5.219     9.087     0.020    10.181    31.959  5502.201  1024.576    18.175    21.961
       174    18.538     0.971     0.000     0.497    -5.262     9.269     0.020    10.176    31.944  5394.259  1024.565    18.538    22.313
       175    18.909     0.984     0.000     0.504    -5.306     9.455     0.020    10.170    31.930  5288.436  1024.555    18.909    22.671
       176    19.288     0.996     0.000     0.511    -5.350     9.644     0.020    10.164    31.916  5184.690  1024.545    19.288    23.034
       177    19.673     1.008     0.000     0.519    -5.394     9.837     0.020    10.158    31.901  5082.980  1024.535    19.673    23.403
       178    20.067     1.021     0.000     0.527    -5.439    10.034     0.020    10.151    31.888  4983.267  1024.525    20.067    23.778
       179    20.469     1.034     0.000     0.534    -5.485    10.234     0.020    10.145    31.874  4885.511  1024.515    20.469    24.159
       180    20.878     1.047     0.000     0.542    -5.531    10.439     0.020    10.139    31.861  4789.673  1024.506    20.878    24.546
       181    21.296     1.060     0.000     0.550    -5.578    10.648     0.020    10.132    31.848  4695.717  1024.497    21.296    24.939
       182    21.722     1.073     0.000     0.559    -5.625    10.861     0.020    10.126    31.835  4603.604  1024.488    21.722    25.339
       183    22.157     1.087     0.000     0.567    -5.672    11.078     0.020    10.119    31.823  4513.300  1024.480    22.157    25.745
       184    22.600     1.100     0.000     0.575    -5.720    11.300     0.020    10.113    31.811  4424.767  1024.471    22.600    26.157
       185    23.052     1.114     0.000     0.584    -5.769    11.526     0.020    10.106    31.799  4337.972  1024.463    23.052    26.576
       186    23.513     1.128     0.000     0.593    -5.818    11.757     0.020    10.099    31.787  4252.881  1024.455    23.513    27.002
