****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.01     15.00     45.00     90.00     25.00      2.00     20.70    207.00      2.00      0.01      2.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth     P-Den    P-Con.    CL-Dil      Time   Net-Dil     P-Sal    P-Temp  Amb-Curr        DO
      Step (FluxAvg)       (m)       (m)       (m)       (m)   (kg/m3)    (mg/L)        ()       (s)        ()     (psu)       (C)     (m/s)    (mg/L)
       125    11.646     0.111     0.000     0.186    -1.820  1021.926  8586.597     5.823     0.613    11.646    28.644    10.632     0.020     8.572
       126    11.879     0.113     0.000     0.190    -1.816  1021.963  8418.536     5.939     0.636    11.879    28.691    10.634     0.020     8.569
       127    12.116     0.115     0.000     0.194    -1.812  1021.999  8253.758     6.058     0.661    12.116    28.738    10.635     0.020     8.565
       128    12.358     0.117     0.000     0.198    -1.808  1022.034  8092.200     6.179     0.686    12.358    28.784    10.637     0.020     8.562
       129    12.604     0.119     0.000     0.202    -1.804  1022.069  7933.798     6.302     0.712    12.604    28.829    10.638     0.020     8.559
       130    12.856     0.121     0.000     0.207    -1.800  1022.103  7778.492     6.428     0.740    12.856    28.873    10.640     0.020     8.556
       131    13.113     0.124     0.000     0.211    -1.796  1022.136  7626.221     6.556     0.768    13.113    28.917    10.641     0.020     8.553
       132    13.374     0.126     0.000     0.215    -1.792  1022.169  7476.926     6.687     0.797    13.374    28.959    10.643     0.020     8.550
       133    13.642     0.128     0.000     0.220    -1.787  1022.201  7330.549     6.821     0.827    13.642    29.001    10.645     0.020     8.547
       134    13.914     0.130     0.000     0.225    -1.783  1022.232  7187.033     6.957     0.859    13.914    29.041    10.646     0.020     8.544
       135    14.192     0.133     0.000     0.229    -1.778  1022.263  7046.323     7.096     0.891    14.192    29.081    10.648     0.020     8.541
       136    14.475     0.135     0.000     0.234    -1.774  1022.293  6908.363     7.238     0.925    14.475    29.121    10.649     0.020     8.538
       137    14.764     0.138     0.000     0.239    -1.769  1022.323  6773.101     7.382     0.960    14.764    29.159    10.651     0.020     8.535
       138    15.059     0.140     0.000     0.244    -1.764  1022.352  6640.483     7.530     0.996    15.059    29.197    10.652     0.020     8.533
       139    15.360     0.143     0.000     0.249    -1.759  1022.380  6510.458     7.680     1.034    15.360    29.233    10.654     0.020     8.530
       140    15.667     0.146     0.000     0.254    -1.754  1022.408  6382.975     7.833     1.073    15.667    29.270    10.655     0.020     8.527
       141    15.980     0.148     0.000     0.259    -1.749  1022.435  6257.985     7.990     1.113    15.980    29.305    10.657     0.020     8.524
       142    16.299     0.151     0.000     0.265    -1.744  1022.462  6135.440     8.149     1.154    16.299    29.340    10.658     0.020     8.521
       143    16.624     0.154     0.000     0.270    -1.739  1022.488  6015.291     8.312     1.197    16.624    29.374    10.660     0.020     8.518
       144    16.956     0.156     0.000     0.276    -1.733  1022.513  5897.492     8.478     1.242    16.956    29.407    10.661     0.020     8.515
       145    17.295     0.159     0.000     0.281    -1.728  1022.539  5781.997     8.648     1.288    17.295    29.440    10.662     0.020     8.512
       146    17.641     0.162     0.000     0.287    -1.722  1022.563  5668.760     8.820     1.336    17.641    29.472    10.664     0.020     8.510
       147    17.993     0.165     0.000     0.293    -1.716  1022.587  5557.739     8.996     1.385    17.993    29.503    10.665     0.020     8.507
       148    18.352     0.168     0.000     0.299    -1.711  1022.611  5448.890     9.176     1.436    18.352    29.534    10.667     0.020     8.504
       149    18.719     0.171     0.000     0.305    -1.705  1022.634  5342.170     9.359     1.489    18.719    29.564    10.668     0.020     8.501
       150    19.093     0.174     0.000     0.311    -1.699  1022.657  5237.537     9.546     1.543    19.093    29.594    10.670     0.020     8.498
       151    19.474     0.177     0.000     0.317    -1.692  1022.679  5134.952     9.737     1.600    19.474    29.623    10.671     0.020     8.495
       152    19.863     0.180     0.000     0.324    -1.686  1022.701  5034.374     9.932     1.658    19.863    29.651    10.673     0.020     8.492
       153    20.260     0.183     0.000     0.330    -1.680  1022.722  4935.764    10.130     1.718    20.260    29.679    10.674     0.020     8.490
       154    20.665     0.187     0.000     0.337    -1.673  1022.743  4839.083    10.333     1.781    20.665    29.706    10.676     0.020     8.487
       155    21.078     0.190     0.000     0.344    -1.667  1022.763  4744.294    10.539     1.845    21.078    29.733    10.677     0.020     8.484
       156    21.499     0.193     0.000     0.350    -1.660  1022.783  4651.360    10.750     1.911    21.499    29.759    10.679     0.020     8.481
       157    21.929     0.197     0.000     0.357    -1.653  1022.803  4560.244    10.964     1.979    21.929    29.785    10.680     0.020     8.478
       158    22.367     0.200     0.000     0.364    -1.646  1022.822  4470.912    11.183     2.050    22.367    29.810    10.682     0.020     8.475
       159    22.814     0.203     0.000     0.371    -1.639  1022.841  4383.327    11.407     2.122    22.814    29.834    10.683     0.020     8.472
       160    23.270     0.207     0.000     0.379    -1.632  1022.860  4297.457    11.635     2.197    23.270    29.858    10.685     0.020     8.469
       161    23.735     0.211     0.000     0.386    -1.624  1022.878  4213.268    11.867     2.274    23.735    29.882    10.686     0.020     8.466
       162    24.209     0.214     0.000     0.393    -1.617  1022.895  4130.726    12.104     2.353    24.209    29.905    10.688     0.020     8.463
       163    24.693     0.218     0.000     0.401    -1.609  1022.913  4049.800    12.346     2.435    24.693    29.928    10.689     0.020     8.460
