****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.00      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
       166    25.608     1.190     0.000     1.233    -5.787    27.220    25.608  1024.413  3904.995    31.737    10.120     0.020    12.804
       167    26.121     1.205     0.000     1.246    -5.839    27.685    26.121  1024.406  3828.400    31.726    10.113     0.020    13.060
       168    26.643     1.221     0.000     1.258    -5.891    28.157    26.643  1024.399  3753.309    31.716    10.105     0.020    13.322
       169    27.176     1.236     0.000     1.270    -5.943    28.637    27.176  1024.392  3679.691    31.706    10.098     0.020    13.588
       170    27.720     1.252     0.000     1.283    -5.996    29.124    27.720  1024.386  3607.517    31.696    10.090     0.020    13.860
       171    28.274     1.268     0.000     1.296    -6.050    29.620    28.274  1024.379  3536.760    31.686    10.083     0.020    14.137
       172    28.840     1.284     0.000     1.309    -6.104    30.124    28.840  1024.373  3467.391    31.677    10.075     0.020    14.420
       173    29.417     1.301     0.000     1.322    -6.159    30.636    29.417  1024.367  3399.383    31.667    10.068     0.020    14.709
       174    30.006     1.318     0.000     1.335    -6.214    31.157    30.006  1024.362  3332.710    31.659    10.060     0.020    15.003
       175    30.606     1.335     0.000     1.349    -6.270    31.686    30.606  1024.356  3267.346    31.650    10.052     0.020    15.303
       176    31.218     1.353     0.000     1.362    -6.327    32.225    31.218  1024.351  3203.264    31.642    10.045     0.020    15.609
       177    31.843     1.371     0.000     1.376    -6.384    32.773    31.843  1024.347  3140.440    31.634    10.038     0.020    15.921
       178    32.480     1.390     0.000     1.390    -6.441    33.331    32.480  1024.342  3078.849    31.627    10.030     0.020    16.240
       179    33.129     1.409     0.000     1.405    -6.499    33.899    33.129  1024.338  3018.467    31.620    10.023     0.020    16.565
       180    33.792     1.429     0.000     1.419    -6.558    34.478    33.792  1024.334  2959.270    31.613    10.016     0.020    16.896
       181    34.468     1.449     0.000     1.434    -6.617    35.067    34.468  1024.330  2901.234    31.606    10.009     0.020    17.234
       182    35.158     1.470     0.000     1.448    -6.677    35.668    35.158  1024.326  2844.337    31.600    10.001     0.020    17.579
       183    35.861     1.491     0.000     1.464    -6.738    36.281    35.861  1024.323  2788.556    31.594     9.994     0.020    17.930
       184    36.578     1.513     0.000     1.479    -6.799    36.905    36.578  1024.320  2733.870    31.589     9.987     0.020    18.289
       185    37.310     1.536     0.000     1.494    -6.860    37.543    37.310  1024.317  2680.258    31.584     9.980     0.020    18.655
       186    38.056     1.559     0.000     1.510    -6.923    38.193    38.056  1024.314  2627.697    31.579     9.973     0.020    19.028
