****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
       136    14.442     0.989     1.372     0.700    -9.470     7.221     0.056     7.637    29.835     6.924  1023.301    14.442     3.414
       137    14.730     1.006     1.397     0.712    -9.441     7.365     0.056     7.644    29.877     6.789  1023.334    14.730     3.528
       138    15.025     1.024     1.423     0.723    -9.411     7.512     0.056     7.651    29.919     6.656  1023.365    15.025     3.645
       139    15.325     1.041     1.450     0.735    -9.381     7.662     0.056     7.658    29.960     6.525  1023.396    15.325     3.765
       140    15.631     1.059     1.476     0.747    -9.351     7.815     0.057     7.664    30.000     6.398  1023.427    15.631     3.888
       141    15.943     1.077     1.503     0.758    -9.320     7.971     0.057     7.671    30.039     6.272  1023.457    15.943     4.015
       142    16.261     1.095     1.530     0.770    -9.289     8.131     0.057     7.677    30.077     6.150  1023.486    16.261     4.145
       143    16.586     1.114     1.558     0.782    -9.257     8.293     0.057     7.684    30.115     6.029  1023.515    16.586     4.278
       144    16.917     1.132     1.586     0.794    -9.225     8.459     0.057     7.690    30.152     5.911  1023.543    16.917     4.415
       145    17.255     1.151     1.614     0.806    -9.192     8.628     0.057     7.696    30.188     5.795  1023.570    17.255     4.555
       146    17.600     1.170     1.642     0.818    -9.160     8.800     0.057     7.702    30.224     5.682  1023.597    17.600     4.698
       147    17.951     1.190     1.671     0.830    -9.126     8.976     0.057     7.708    30.258     5.571  1023.624    17.951     4.845
       148    18.310     1.210     1.700     0.843    -9.092     9.155     0.057     7.713    30.293     5.462  1023.650    18.310     4.996
       149    18.676     1.230     1.729     0.855    -9.058     9.338     0.057     7.719    30.326     5.355  1023.675    18.676     5.150
       150    19.049     1.250     1.758     0.867    -9.024     9.524     0.057     7.725    30.359     5.250  1023.700    19.049     5.308
       151    19.429     1.270     1.788     0.880    -8.989     9.715     0.057     7.730    30.391     5.147  1023.724    19.429     5.470
       152    19.817     1.291     1.818     0.892    -8.953     9.909     0.058     7.735    30.423     5.046  1023.748    19.817     5.635
       153    20.213     1.312     1.849     0.904    -8.917    10.107     0.058     7.740    30.454     4.947  1023.772    20.213     5.804
       154    20.617     1.334     1.879     0.917    -8.881    10.308     0.058     7.746    30.484     4.850  1023.795    20.617     5.977
       155    21.029     1.355     1.910     0.929    -8.844    10.514     0.058     7.751    30.514     4.755  1023.818    21.029     6.154
       156    21.449     1.377     1.942     0.942    -8.807    10.724     0.058     7.755    30.543     4.662  1023.840    21.449     6.335
       157    21.877     1.399     1.973     0.954    -8.769    10.939     0.058     7.760    30.571     4.571  1023.861    21.877     6.520
       158    22.315     1.422     2.005     0.967    -8.731    11.157     0.058     7.765    30.599     4.481  1023.883    22.315     6.709
       159    22.760     1.444     2.037     0.979    -8.693    11.380     0.058     7.770    30.627     4.394  1023.904    22.760     6.902
       160    23.215     1.467     2.069     0.992    -8.654    11.608     0.058     7.774    30.654     4.308  1023.924    23.215     7.099
       161    23.679     1.490     2.102     1.005    -8.615    11.839     0.058     7.779    30.680     4.223  1023.944    23.679     7.301
       162    24.152     1.514     2.135     1.017    -8.575    12.076     0.058     7.783    30.706     4.140  1023.964    24.152     7.507
       163    24.635     1.538     2.168     1.030    -8.535    12.317     0.059     7.787    30.731     4.059  1023.983    24.635     7.716
       164    25.127     1.562     2.201     1.042    -8.494    12.563     0.059     7.791    30.756     3.980  1024.002    25.127     7.931
       165    25.629     1.586     2.235     1.055    -8.453    12.814     0.059     7.795    30.781     3.902  1024.020    25.629     8.149
       166    26.141     1.611     2.269     1.068    -8.411    13.071     0.059     7.799    30.805     3.825  1024.039    26.141     8.372
       167    26.663     1.636     2.303     1.080    -8.369    13.332     0.059     7.803    30.828     3.750  1024.056    26.663     8.600
       168    27.196     1.661     2.337     1.093    -8.327    13.598     0.059     7.807    30.851     3.677  1024.074    27.196     8.832
       169    27.740     1.687     2.372     1.106    -8.284    13.870     0.059     7.811    30.874     3.605  1024.091    27.740     9.069
       170    28.294     1.713     2.407     1.118    -8.241    14.147     0.059     7.815    30.896     3.534  1024.108    28.294     9.310
       171    28.859     1.739     2.442     1.131    -8.197    14.430     0.059     7.818    30.917     3.465  1024.124    28.859     9.556
       172    29.436     1.765     2.478     1.144    -8.153    14.718     0.060     7.822    30.938     3.397  1024.140    29.436     9.806
       173    30.024     1.792     2.513     1.156    -8.108    15.012     0.060     7.825    30.959     3.331  1024.156    30.024    10.062
       174    30.624     1.819     2.549     1.169    -8.063    15.312     0.060     7.829    30.980     3.265  1024.172    30.624    10.322
       175    31.236     1.847     2.586     1.181    -8.017    15.618     0.060     7.832    31.000     3.201  1024.187    31.236    10.587
       176    31.861     1.874     2.622     1.194    -7.971    15.930     0.060     7.835    31.019     3.139  1024.202    31.861    10.857
       177    32.497     1.902     2.659     1.206    -7.925    16.249     0.060     7.839    31.039     3.077  1024.216    32.497    11.132
       178    33.147     1.931     2.696     1.219    -7.878    16.573     0.060     7.842    31.057     3.017  1024.231    33.147    11.412
       179    33.809     1.959     2.733     1.231    -7.830    16.905     0.060     7.845    31.076     2.958  1024.245    33.809    11.697
       180    34.485     1.988     2.771     1.244    -7.782    17.243     0.060     7.848    31.094     2.900  1024.258    34.485    11.987
       181    35.174     2.018     2.809     1.256    -7.734    17.587     0.061     7.851    31.112     2.843  1024.272    35.174    12.283
       182    35.877     2.048     2.847     1.269    -7.685    17.939     0.061     7.854    31.129     2.787  1024.285    35.877    12.583
       183    36.594     2.078     2.885     1.281    -7.636    18.297     0.061     7.857    31.146     2.733  1024.298    36.594    12.889
       184    37.326     2.108     2.924     1.294    -7.586    18.663     0.061     7.860    31.163     2.679  1024.311    37.326    13.200
       185    38.072     2.139     2.963     1.306    -7.536    19.036     0.061     7.862    31.179     2.627  1024.323    38.072    13.517
       186    38.833     2.170     3.002     1.318    -7.485    19.416     0.061     7.865    31.196     2.575  1024.336    38.833    13.839
       187    39.609     2.201     3.042     1.330    -7.434    19.805     0.061     7.868    31.211     2.525  1024.347    39.609    14.166
